iso2c,year,IAFR_BP6_USD,IAD_BP6_USD,IAP_BP6_USD,IAO_BP6_USD,IARFR_BP6_USD
CZ,2003,59925.5063002926,2283.5230373431,13407.9948546036,16336.2438606065,26957.1699784715
CZ,2004,76115.1700331937,6266.35367762128,16643.7737536329,22980.6841046278,28449.5317591047
CZ,2005,84064.810403972,7939.97071742313,19025.8662762323,25813.0795510005,29555.1308855077
CZ,2006,101891.355939577,11805.1350833493,25491.6171680399,30582.0559494156,31454.2990321239
CZ,2007,129973.068993277,19590.8286314858,34219.7698860493,37411.2733709481,34905.3070727103
CZ,2008,135699.792860721,24810.5034632482,26110.6688721183,40243.5128708777,37012.9325278356
CZ,2009,143959.006220266,30637.1951219512,24847.0165505227,41263.3928571429,41611.0097045868
CZ,2010,151302.670612965,34532.5582635593,24179.5637565996,45029.5984214175,42492.6338149273
CZ,2011,149213.524203791,33427.5827482447,22618.655967903698,46426.6800401204,40290.5051466199
CZ,2012,167375.635094241,40010.9682498032,25755.3398058252,51793.2826029913,44883.2708853717
CZ,2013,187838.087534152,46000.6031969438,26306.9769779833,56515.8339197748,56216.9454812713
CZ,2014,181984.765374498,42723.219760007,27900.5868441797,52479.8983971271,54492.7797390425
CZ,2015,183735.669403533,42263.5352884305,28676.9658395102,45222.8891395424,64491.0271218703
CZ,2016,206897.945617912,43428.9948905964,29386.4425289598,45625.1413861695,85729.4523069401
CZ,2017,301012.532987109,61982.9975106853,36518.810765112,51510.4504250622,147976.367471163
CZ,2018,300138.54866589,66780.4237514466,31969.1088756343,52540.4611412802,142512.268954326
CZ,2019,312139.612750393,73075.0629945626,32450.0685204014,50993.3689934132,149855.142567819
EG,2004,36003.2299136874,875.3,1789.7,18861.1279947917,14477.1019188958
EG,2005,46722.4997425757,967.3,2149.84,22373.9041870202,21231.4555555556
EG,2006,61559.3708552588,1115.7,2434.4,32854.0133179045,25155.2575373543
EG,2007,76365.1056013476,1780.5,2779.2,40627.6,31177.8056013476
EG,2008,67350.6427983926,3700.7,1947.1,28656.2,33046.6427983926
EG,2009,72700.465766342,4272.9,4120.2,30839.3,33468.065766342
EG,2010,79812.3356345559,5448.4,9691.4,28472.7,36199.8356345559
EG,2011,57779.1801104777,6073.9,3368.6,30030,18306.6801104777
EG,2012,50911.0435547728,6285,3334.2,26444.6,14847.2435547728
EG,2013,50004.9973264075,6586,2967.6,23891,16560.3973264074
EG,2014,45771.6120517397,6838.7,2647.3,21408.6,14877.0120517397
EG,2015,42515.7273257756,7020.4,1541.3,18070.8,15883.2273257756
EG,2016,48959.4547059677,7227,1330.6,16783.8,23618.0547059678
EG,2017,73696.7171188055,7426,1556.5,28356,36358.2171188056
EG,2018,71065.4110651377,7749.5,947.4,20563.7,41804.8110651377
EG,2019,82088.1677855569,8154.6,978.9,28385.8,44568.8677855569
HU,2003,40636.7976991442,9757.88320281358,1090.36841092728,14863.5186187428,12839.6220222588
HU,2004,56459.3561967925,13477.3633438238,1752.5342503744,22007.1504815686,15965.2644691315
HU,2005,60856.5942922394,15304.1594610872,2839.88388425883,22093.3922894653,18603.0747544409
HU,2006,184103.412033205,122658.766191937,5395.82924538148,31421.7453189751,21589.2594618611
HU,2007,283357.666214122,203539.768134517,9321.42739031922,42617.6674063612,24051.5719521786
